Date,Index
10/3/2017,1556.35
10/4/2017,1542.65
10/8/2017,1510.01
10/9/2017,1501.89
10/10/2017,1502.63
10/11/2017,1505.99
10/12/2017,1510.02
10/15/2017,1518.28
10/16/2017,1564.9
10/17/2017,1559.18
10/18/2017,1568.35
10/22/2017,1571.92
10/23/2017,1568.3
10/24/2017,1567.64
10/25/2017,1553.72
10/29/2017,1540.23
10/30/2017,1536.72
10/31/2017,1533.53
11/1/2017,1526.51
11/2/2017,1522.81
11/5/2017,1496.46
11/6/2017,1493.42
11/7/2017,1484.45
11/8/2017,1466.62
11/9/2017,1460.73
11/12/2017,1477.14
11/13/2017,1490.88
11/14/2017,1516.02
11/15/2017,1504.79
11/16/2017,1489.06
11/19/2017,1475.72
11/20/2017,1469.16
11/21/2017,1472.24
11/22/2017,1480.26
11/23/2017,1493.29
11/26/2017,1514.34
11/27/2017,1513.74
11/28/2017,1523.86
11/29/2017,1536.12
11/30/2017,1537.67
12/4/2017,1526.77
12/5/2017,1524.87
12/6/2017,1536.54
12/10/2017,1530.49
12/11/2017,1527.75
12/12/2017,1510.21
12/13/2017,1520.74
12/14/2017,1518.03
12/17/2017,1509.14
12/18/2017,1508.25
12/19/2017,1493.76
12/20/2017,1484.47
12/21/2017,1472.15
12/24/2017,1467.68
12/26/2017,1447.04
12/27/2017,1425.51
12/28/2017,1414.78
12/31/2017,1390.58
1/1/2018,1434.8
1/2/2018,1437.24
1/3/2018,1416.61
1/4/2018,1423.83
1/7/2018,1431.8
1/8/2018,1443.8
1/9/2018,1456.07
1/10/2018,1440.29
1/14/2018,1431.1
1/16/2018,1413.71
1/17/2018,1406.52
1/21/2018,1402.67
1/22/2018,1402.09
1/23/2018,1393.04
1/24/2018,1394.73
1/25/2018,1404.53
1/28/2018,1405.95
1/29/2018,1402.23
1/31/2018,1404.49
2/1/2018,1411.52
2/4/2018,1410.51
2/5/2018,1400.05
2/6/2018,1394.03
2/7/2018,1382.02
2/8/2018,1391.03
2/11/2018,1384.71
2/12/2018,1380.29
2/14/2018,1388.94
2/15/2018,1424.95
2/18/2018,1413.89
2/20/2018,1396.72
2/21/2018,1387.08
2/22/2018,1386.98
2/25/2018,1374.73
2/26/2018,1358.95
2/27/2018,1364.81
2/28/2018,1345.99
3/4/2018,1304.43
3/5/2018,1287.74
3/6/2018,1296.44
3/7/2018,1315.13
3/11/2018,1284.09
3/12/2018,1277.01
3/13/2018,1281.9
3/14/2018,1285.96
3/15/2018,1288.36
3/18/2018,1278.96
3/19/2018,1270.52
3/20/2018,1255.47
3/21/2018,1231.07
3/22/2018,1220.44
3/26/2018,1168.55
3/27/2018,1207.71
3/28/2018,1204.81
3/29/2018,1220.29
4/1/2018,1196.24
4/2/2018,1192.96
4/3/2018,1199
4/4/2018,1226.45
4/5/2018,1250.39
4/8/2018,1294.65
4/9/2018,1287.78
4/10/2018,1270.23
4/11/2018,1273.33
4/12/2018,1277.55
4/15/2018,1280.15
4/16/2018,1297.57
4/17/2018,1331.18
4/18/2018,1363.01
4/19/2018,1388.31
4/22/2018,1438.49
4/23/2018,1410.85
4/24/2018,1394.86
4/25/2018,1386.47
4/26/2018,1357.22
4/29/2018,1349.01
5/2/2018,1360.38
5/3/2018,1366.15
5/6/2018,1353.64
5/7/2018,1345.37
5/8/2018,1361.02
5/9/2018,1356.15
5/10/2018,1348.45
5/14/2018,1338.17
5/15/2018,1333.85
5/16/2018,1338.01
5/17/2018,1339.65
5/20/2018,1339.19
5/21/2018,1337.13
5/22/2018,1332.82
5/23/2018,1328.27
5/24/2018,1318.22
5/27/2018,1300.41
5/28/2018,1336.39
5/29/2018,1327.21
5/30/2018,1322.27
5/31/2018,1307.66
6/3/2018,1273.95
6/4/2018,1268.84
6/6/2018,1282.75
6/7/2018,1257.07
6/10/2018,1231.64
6/11/2018,1241.19
6/12/2018,1239.26
6/13/2018,1242.07
6/14/2018,1247.3
6/17/2018,1233.23
6/18/2018,1235.15
6/19/2018,1226.18
6/20/2018,1217.84
6/21/2018,1218.46
6/24/2018,1219.81
6/25/2018,1210.09
6/26/2018,1194.8
6/27/2018,1199.42
6/28/2018,1198.54
7/1/2018,1184.53
7/2/2018,1179.71
7/3/2018,1180.36
7/4/2018,1188.4
7/5/2018,1224.41
7/8/2018,1224.39
7/9/2018,1206.43
7/10/2018,1205.93
7/11/2018,1205.64
7/12/2018,1191.98
7/15/2018,1200.09
7/16/2018,1212.36
7/17/2018,1204.31
7/18/2018,1198.75
7/19/2018,1193.39
7/22/2018,1181.66
7/23/2018,1194.5
7/24/2018,1199.27
7/25/2018,1194.35
7/26/2018,1191.2
7/29/2018,1194.82
7/30/2018,1194.38
7/31/2018,1191.47
8/1/2018,1193.87
8/2/2018,1191.31
8/5/2018,1189.88
8/6/2018,1189.67
8/7/2018,1188.21
8/8/2018,1187.32
8/9/2018,1180.63
8/12/2018,1163.94
8/13/2018,1174.37
8/14/2018,1180.98
8/15/2018,1209.71
8/16/2018,1210.32
8/19/2018,1196.29
8/20/2018,1188.07
8/21/2018,1183.89
8/22/2018,1182.42
8/23/2018,1178.5
8/26/2018,1175.72
8/28/2018,1177.09
8/29/2018,1172.3
8/30/2018,1181.69
9/2/2018,1190.28
9/3/2018,1206.26
9/4/2018,1210.24
9/5/2018,1234.13
9/6/2018,1229.77
9/9/2018,1218.98
9/10/2018,1210.88
9/11/2018,1217.65
9/12/2018,1230.71
9/13/2018,1244.84
9/16/2018,1256.53
9/17/2018,1256.4
9/18/2018,1258.81
9/20/2018,1255.07
9/23/2018,1257.68
9/25/2018,1280.05
9/26/2018,1277.74
9/27/2018,1267.18
9/30/2018,1256.71
10/1/2018,1238.67
10/2/2018,1241.36
10/3/2018,1230.6
10/4/2018,1227.37
10/7/2018,1214.36
10/8/2018,1220.52
10/9/2018,1217.93
10/10/2018,1218.33
10/11/2018,1228.28
10/14/2018,1242.43
10/15/2018,1241.63
10/21/2018,1246.52
10/22/2018,1244.54
10/23/2018,1241.84
10/24/2018,1249.93
10/25/2018,1241.11
10/28/2018,1227.49
10/29/2018,1216.93
10/30/2018,1224.36
10/31/2018,1221.46
11/1/2018,1220.98
11/4/2018,1207.28
11/5/2018,1219.2
11/6/2018,1222.53
11/11/2018,1205.22
11/12/2018,1193.34
11/13/2018,1207.57
11/14/2018,1208.89
11/15/2018,1205.02
11/18/2018,1194.87
11/19/2018,1189.56
11/20/2018,1181.66
11/21/2018,1182.74
11/22/2018,1181.41
11/25/2018,1166.43
11/26/2018,1160.28
11/27/2018,1161.43
11/28/2018,1159.38
11/29/2018,1148.7
12/2/2018,1130.63
12/3/2018,1131.73
